front,back
【時めく】ときめく - 例文「いづれの御時にか、女御、更衣 あまたさぶらひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。」の口語訳を答えなさい。,訳語：寵愛を受ける。時流に乗って栄える。 例文の訳：どの帝の御世であったか、女御や更衣が大勢お仕え申し上げなさっていた中に、それほど高貴な身分ではない方で、とりわけ（帝の）寵愛を受けていらっしゃる方がいた。
【避る】さる - 例文「道もさりあへず立つ折もあるぞかし。」の口語訳を答えなさい。,訳語：避ける。のがれる。 例文の訳：（隆家殿の邸の門前には）道も避けきれないほど（車が）とまる時もあるのだよ。
【避る】さる - 例文「かの左衛門督はえなられじ。また、そこにさられば、こと人こそはなるべかなれ。」の口語訳を答えなさい。,訳語：断る。辞退する。 例文の訳：あの左衛門督は（中納言に）おなりになることはできないだろう。また、あなたがお断りになるのならば、違う人がなるだろうということだ。
【困ず】こうず - 例文「知らぬわざしてまろも困じにたり。そこも眠たげに思ほしためり。」の口語訳を答えなさい。,訳語：疲れる。疲労する。 例文の訳：慣れないことをして私も疲れてしまった。あなたも眠たそうに思っていらっしゃるようだ。
【搔き暗す】かきくらす - 例文「何とにかあらむ、かきくらして涙こぼるる。」の口語訳を答えなさい。,訳語：悲しみが心を暗くする。涙が目の前を暗くする。 例文の訳：（手紙を書いていると）何ということであろうか、悲しみが心を暗くして涙がこぼれる。
【憂ふ・愁ふ】うれふ - 例文「乞食、路のほとりに多く、憂へ悲しむ声耳に満てり。」の口語訳を答えなさい。,訳語：訴える。悲しみ嘆く。 例文の訳：物乞いをする人が、道ばたに多くいて、訴え悲しむ声が至る所で聞こえる。
【託つ】かこつ - 例文「舟の中にや老いをばかこつらむ。」の口語訳を答えなさい。,訳語：不平を言う。文句を言う。 例文の訳：（大蔵卿は）舟の中で今老いたわが身に不平を言っているだろうか。
【労る】いたはる - 例文「折ふしいたはること候ひて下り候はず。」の口語訳を答えなさい。,訳語：病気になる。疲労する。 例文の訳：（宗清は）ちょうど病気になることがございまして（鎌倉へは）下向しておりません。
【労る】いたはる - 例文「常の使ひよりは、この人よくいたはれ。」の口語訳を答えなさい。,訳語：世話をする。 例文の訳：いつもの使者以上に、この方を大切に世話しなさい。
【ためらふ】 - 例文「なやましう侍りつれば、しばしためらひて。」の口語訳を答えなさい。,訳語：静養する。病勢を抑える。 例文の訳：気分が悪うございましたので、しばらく静養して。
【ためらふ】 - 例文「ややためらひて仰せ言伝へきこゆ。」の口語訳を答えなさい。,訳語：気を静める。感情を抑える。 例文の訳：（命婦は）少し気を静めて（天皇の）お言葉をお伝え申し上げる。
【怠る】おこたる - 例文「日ごろ月ごろしるきことありてなやみわたるが、おこたりぬるもうれし。」の口語訳を答えなさい。,訳語：病気がよくなる。病気が快方に向かう。 例文の訳：何日も何か月もはっきりした症状があってずっと病をわずらっていたのが、病気がよくなったのもうれしい。
【悩む】なやむ - 例文「身にやむごとなく思ふ人のなやむを聞きて、いかにいかにとおぼつかなきことを嘆くに、おこたりたる由、消息聞くもいとうれし。」の口語訳を答えなさい。,訳語：病気で苦しむ。気分がすぐれなくなる。 例文の訳：わが身にとって大切に思う人が病気で苦しむのを聞いて、どんなかどんなかと心配なことを嘆くときに、病気がよくなったということを、伝え聞くのもとてもうれしい。
【後る・遅る】おくる - 例文「人におくれて、四十九日の仏事に、ある聖を請じ侍りしに、説法いみじくして、皆人涙を流しけり。」の口語訳を答えなさい。,訳語：先立たれる。先に死なれる。 例文の訳：人に先立たれて、四十九日目の法事に、ある僧を招きましたところ、説法がとてもありがたくて、だれもが涙を流した。
【認む】したたむ - 例文「果ての日は、いと情けなう、互ひに言ふこともなく、我かしこげに物ひきしたため、ちりぢりに行き別れぬ。」の口語訳を答えなさい。,訳語：処理する。整理する。 例文の訳：（死後の供養の）最後の日は、実に人情味なく、互いに口をきくこともなく、われがちに物をてきぱき処理し、散り散りに離れ去ってしまう。
【惜し】あたらし - 例文「御かたちいと清げに、あまりあたらしきさまして、物より抜け出でたるやうにぞおはせし。」の口語訳を答えなさい。,訳語：もったいない。惜しい。 例文の訳：（道頼殿は）ご容貌がとても美しく、（この世には）あまりにももったいない様子で、物語の絵から抜け出してきたようでいらっしゃった。
【かたじけなし】 - 例文「かくやうのこと（＝政界の裏話）は、人中にて、下﨟の申すにいとかたじけなし。」の口語訳を答えなさい。,訳語：おそれ多い。もったいない。 例文の訳：こういう政界の裏話は、人中で、身分の低い者が申し上げるのには実におそれ多い。
【かたじけなし】 - 例文「かたじけなくも御硯召し寄せて、みづから御返事あそばされけり。」の口語訳を答えなさい。,訳語：ありがたい。もったいない。 例文の訳：（女院は）ありがたくもお硯を取り寄せなさって、（女房の小宰相に代わって）ご自身でお返事をなさった。
【痴がまし】をこがまし - 例文「老い衰へて世に出で交じらひしは、をこがましく見えしかば、われはかくて閉ぢこもりぬべきぞ。」の口語訳を答えなさい。,訳語：愚かしい。みっともない。 例文の訳：老い衰えて世間に出て宮仕えしていた人は、愚かしく見えたので、私はこのまま隠退してしまうつもりだ。
【心憎し】こころにくし - 例文「後の世のこと心に忘れず、仏の道うとからぬ、こころにくし。」の口語訳を答えなさい。,訳語：奥ゆかしい。 例文の訳：来世のことを心に忘れることなく、仏道に無関心でない人は、奥ゆかしい。
【賢し】さかし - 例文「こと人々の（歌）もありけれど、さかしき（歌）もなかるべし。」の口語訳を答えなさい。,訳語：気が利いている。才気がある。 例文の訳：違う人々の歌もあったが、気が利いている歌もないだろう。
【賢し】さかし - 例文「雷の鳴り閃く様さらに言はむ方なくて、落ちかかりぬとおぼゆるに、ある限りさかしき人なし。」の口語訳を答えなさい。,訳語：気がしっかりしている。気丈だ。 例文の訳：雷の鳴り閃く様はまったく言いようもなくて、落ちかかってしまうと思われるので、そこにいるだれ一人として気がしっかりしている人はいない。
【好き好きし】すきずきし - 例文「なほしるべせよ。我はすきずきしき心などなき人ぞ。」の口語訳を答えなさい。,訳語：好色めいている。色好みだ。 例文の訳：やはり（姫君の部屋に）案内しておくれ。私は好色めいた心などない人間だ。
【好き好きし】すきずきし - 例文「すきずきしき方のみにあらず、土御門の御日記とて、世の中の鏡となむ承る。」の口語訳を答えなさい。,訳語：風流だ。物好きだ。 例文の訳：（源師房卿は）風流な方面だけでなく、『土御門の御日記』という名で、世の中の規範（を残した）とお聞きしている。
【なまめかし】 - 例文「小少将の君は、そこはかとなくあてになまめかしう、二月ばかりのしだり柳のさましたり。」の口語訳を答えなさい。,訳語：優美だ。みずみずしい。 例文の訳：小少将の君は、どことなく上品で優美で、二月ごろの（芽ぶいたばかりの）しだれ柳のような風情をしている。
【今めかし】いまめかし - 例文「なかなか長きよりもこよなういまめかしきものかな。」の口語訳を答えなさい。,訳語：現代風だ。当世風だ。 例文の訳：（尼の短めの髪も）かえって長い髪よりも格段に現代風なものだなあ。
【しどけなし】 - 例文「女のなつかしきさまにてしどけなう弾きたるこそをかしけれ。」の口語訳を答えなさい。,訳語：無造作だ。気楽な感じだ。 例文の訳：（琴は）女が好ましい様子で無造作に弾いているのが趣深い。
【しどけなし】 - 例文「世もいまだ静まり候はねば、しどけなき事もぞ候ふとて、御迎へに参つて候ふ。」の口語訳を答えなさい。,訳語：乱れている。だらしがない。 例文の訳：世の中もまだ平穏になっていませんので、乱れた事があると困ると思って、お迎えに参上しました。
【つきづきし】 - 例文「冬はつとめて。…いと寒きに、火などいそぎおこして、炭もてわたるもいとつきづきし。」の口語訳を答えなさい。,訳語：似つかわしい。ふさわしい。 例文の訳：冬は早朝（がよい）。…とても寒い朝に、火などを急いでおこして、炭を持って行き来する姿も実に（冬の朝に）似つかわしい。
【なつかし】 - 例文「よろしき男を、下衆女などのほめて、「いみじうなつかしうおはします」など言へば、やがて思ひおとされぬべし。」の口語訳を答えなさい。,訳語：好ましい。感じがよい。 例文の訳：それ相応の身分の男を、身分の低い女などがほめて、「とても好ましくいらっしゃる」などと言うと、途端に（男は）見下されてしまうにちがいない。
【目安し】めやすし - 例文「命長ければ恥多し。長くとも四十に足らぬほどにて死なむこそ、めやすかるべけれ。」の口語訳を答えなさい。,訳語：見苦しくない。感じよい。 例文の訳：命が長いと恥が多い。たとえ長生きするとしても四十歳にならないうちに死ぬのが、見苦しくないだろう。
【心安し】こころやすし - 例文「今ぞ心やすく黄泉路もまかるべき。」の口語訳を答えなさい。,訳語：安心だ。 例文の訳：今は安心してあの世にも旅立てるだろう。
【心安し】こころやすし - 例文「この位去りて、ただ心やすくてあらむ。」の口語訳を答えなさい。,訳語：気楽だ。気安い。 例文の訳：この（皇太子の）位を譲って、ただ気楽な状態でいよう。
【後ろめたし】うしろめたし - 例文「乳母替へてむ。いとうしろめたし。」の口語訳を答えなさい。,訳語：心配だ。気がかりだ。 例文の訳：乳母を替えてしまおう。とても心配だ。
【心苦し】こころぐるし - 例文「風の便りの言伝ても絶えて久しくなりければ、何となりぬることやらむと、心苦しうぞ思はれける。」の口語訳を答えなさい。,訳語：つらい。心配だ。 例文の訳：（維盛卿の奥様は）風の便りの消息も絶えて久しくなったので、（夫は）どうなったことだろうかと、つらく思われた。
【心苦し】こころぐるし - 例文「君は、思し怠る時の間もなく、心苦しくも恋しくも思し出づ。」の口語訳を答えなさい。,訳語：気の毒だ。見ていてつらい。 例文の訳：（源氏の）君は、お忘れになるわずかの時もなく、気の毒にも恋しくも（空蟬のことを）思い出しなさる。
【まばゆし】 - 例文「上達部・上人などもあいなく目をそばめつつ、いとまばゆき人の御おぼえなり。」の口語訳を答えなさい。,訳語：見ていられない。目をそむけたいほどだ。 例文の訳：公卿や殿上人なども苦々しく目をそらしては、とても見ていられないほどの（桐壺の更衣に対する帝の）ご寵愛である。
【まばゆし】 - 例文「はかなき御いらへも心やすく聞こえむもまばゆしかし。」の口語訳を答えなさい。,訳語：恥ずかしい。照れくさい。 例文の訳：（普通の人は源氏に対する）ちょっとしたお返事も気軽に申し上げることも恥ずかしいよ。
【恥づかし】はづかし - 例文「はづかしき人の、歌の本末問ひたるに、ふとおぼえたる、我ながらうれし。」の口語訳を答えなさい。,訳語：（こちらが気後れするほど）立派だ。すぐれている。 例文の訳：（こちらが気後れするほど）立派な人が、和歌の上の句・下の句を（私に）尋ねた際に、すっと思い出されたときは、われながらうれしい。
【拙し】つたなし - 例文「つたなく弾きて、弾きおほせざれば、腹立ちて鳴らぬなり。」の口語訳を答えなさい。,訳語：下手だ。拙劣だ。 例文の訳：（玄象という名の琵琶は）下手に弾いて、十分に弾きこなせないと、腹を立てて音を立てないのである。
【拙し】つたなし - 例文「ただこれ天にして、汝が性のつたなきを泣け。」の口語訳を答えなさい。,訳語：不運だ。運が悪い。 例文の訳：（捨て子よ、親に捨てられたのは）ただ天命であって、おまえの宿命が不運なことを泣きなさい。
【こちたし】 - 例文「鶴は、いとこちたきさまなれど、鳴く声、雲居まで聞こゆる、いとめでたし。」の口語訳を答えなさい。,訳語：仰々しい。はなはだしい。 例文の訳：鶴は、とても仰々しい姿であるけれども、鳴く声が、天上まで聞こえるのは、とてもすばらしい。
【左右無し】さうなし - 例文「古くよりこの地を占めたるものならば、さうなく掘り捨てられ難し。」の口語訳を答えなさい。,訳語：ためらわない。無造作だ。 例文の訳：（蛇が）昔からここをすみかとしているのならば、無造作に土を掘って（蛇の塚を）お捨てになるのは難しい。
【所狭し】ところせし - 例文「（紫ノ上ハ人形ヲ）ところせきまで遊びひろげ給へり。」の口語訳を答えなさい。,訳語：いっぱいだ。あふれるくらいだ。 例文の訳：紫の上は人形を（部屋に）いっぱいなくらいまでひろげて遊んでいらっしゃる。
【所狭し】ところせし - 例文「ところせき身こそわびしけれ。軽らかなるほどの殿上人などにてしばしあらばや。」の口語訳を答えなさい。,訳語：窮屈だ。不自由だ。 例文の訳：窮屈な身分はやりきれない。身軽な身分の殿上人などとしてしばらくいたい。
【慎まし】つつまし - 例文「立ち聞き、かいまむ人のけはひして、いといみじくものつつまし。」の口語訳を答えなさい。,訳語：気がひける。気恥ずかしい。 例文の訳：（宮仕え先では個室にいても）立ち聞きをしたり、のぞき見をしたりする人の気配がして、とてもとても何かにつけて気がひける。
【まさなし】 - 例文「何をか奉らむ。まめまめしきものはまさなかりなむ。ゆかしくし給ふなるものを奉らむ。」の口語訳を答えなさい。,訳語：よくない。不都合だ。 例文の訳：何を差し上げようか。実用的なものはきっとよくないだろう。（あなたが）読みたがっていらっしゃるとかいう物語を差し上げよう。
【妬し】ねたし - 例文「殿上人、地下なるも、陣に立ち添ひて見るも、いとねたし。」の口語訳を答えなさい。,訳語：しゃくにさわる。憎らしい。 例文の訳：殿上人や、地下である者も、陣に寄り添って（私たちを）見ているのも、とてもしゃくにさわる。
【まだし】 - 例文「紅葉もまだし。花もみな失せにたり。枯れたる薄ばかりぞ見えつる。」の口語訳を答えなさい。,訳語：まだ時期が早い。時期尚早だ。 例文の訳：紅葉もまだ時期が早い。花もみな散ってしまった。枯れた薄だけが見えた。
【はしたなし】 - 例文「思ほえず、ふるさとにいとはしたなくてありければ、心地惑ひにけり。」の口語訳を答えなさい。,訳語：不釣り合いだ。 例文の訳：思いがけず、古都に（優美な姉妹が）とても不釣り合いなさまでいたので、（男は）気持ちが乱れてしまった。
【はしたなし】 - 例文「はしたなきもの。こと人を呼ぶに、われぞとさし出でたる。」の口語訳を答えなさい。,訳語：きまりが悪い。体裁が悪い。 例文の訳：きまりが悪いもの。違う人を呼んだのに、自分だと思ってすっと顔を出したとき。
【わりなし】 - 例文「人の上いふを腹立つ人こそ、いとわりなけれ。」の口語訳を答えなさい。,訳語：道理に合わない。無理だ。 例文の訳：他人のことをうわさするのに腹を立てる人は、まったく道理に合わない。
【わりなし】 - 例文「女君は、わりなう苦しと思ひ臥したまへり。」の口語訳を答えなさい。,訳語：耐えがたい。つらい。 例文の訳：女君は、耐えがたくつらいと思って横になっていらっしゃる。
【術無し】ずちなし - 例文「今日はずちなし。右の大臣に任せ申す。」の口語訳を答えなさい。,訳語：どうしようもない。しかたがない。 例文の訳：今日はどうしようもない。（閣議は）右大臣にお任せする。
【あへなし】 - 例文「伊成進み寄りて、弘光が手を取りて前ざまへ強く引きたるに、うつ伏しに転びぬ。あへなきことかぎりなし。」の口語訳を答えなさい。,訳語：あっけない。はりあいがない。（今さら）どうしようもない。 例文の訳：伊成が進み寄って、弘光の手を取って前方に強く引いたところ、（弘光は）うつ伏せに転んでしまった。あっけないことこの上もない。
【隈無し】くまなし - 例文「花は盛りに月はくまなきをのみ見るものかは。」の口語訳を答えなさい。,訳語：暗い所がない。かげの部分がない。 例文の訳：桜の花は満開で月は暗い所のない満月だけを観賞するものなのか、いやちがう。
【めざまし】 - 例文「初めより我はと思ひ上がり給へる御方々、めざましきものにおとしめそねみ給ふ。」の口語訳を答えなさい。,訳語：気にくわない。不愉快だ。 例文の訳：（宮仕えの）初めから自分こそは（帝のご寵愛を受けるはずだ）と自負していらっしゃるお妃方は、（桐壺の更衣を）気にくわない者としてさげすみ憎みなさる。
【心付きなし】こころづきなし - 例文「心づきなきことあらん折は、なかなかその由をも言ひてん。」の口語訳を答えなさい。,訳語：気に入らない。気にくわない。 例文の訳：気に入らないことがあるようなときは、かえってそのことを言ってしまう方がよい。
【ゆくりなし】 - 例文「ほかにて酒などまゐり、酔ひて、夜いたく更けて、ゆくりもなくものし給へり。」の口語訳を答えなさい。,訳語：突然だ。思いがけない。 例文の訳：（泉の大将は）よそで酒などを召し上がり、酔って、夜がとても更けてから、（左大臣の邸に）突然お越しになった。
【篤し】あつし - 例文「中宮も御物の怪に悩ませ給ひて、常はあつしうおはしますを、院もいとど晴れ間なく思し嘆く。」の口語訳を答えなさい。,訳語：病状が重い。病弱である。 例文の訳：中宮も物の怪に苦しみなさって、ずっと病状が重くいらっしゃるのを、院もいよいよ心の晴れるときなくお嘆きになる。
【強ちなり】あながちなり - 例文「あながちなる御言かな。この中にはにほへる鼻もなかめり。」の口語訳を答えなさい。,訳語：無理やりだ。強引だ。 例文の訳：（赤鼻の人がいたとは）無理やりなお言葉だなあ。私たちの中には赤くなっている鼻もないようだ。
【なめげなり】 - 例文「受領などの家にも、物の下部などの来て、なめげに言ひ、さりとて我をばいかがせん、など思ひたる、いとねたげなり。」の口語訳を答えなさい。,訳語：無礼だ。無作法だ。 例文の訳：受領などの家に、権力者の召使いなどが来て、無礼に口をきき、だからといって自分をどうにもできないだろう、などと思っているのは、とても憎たらしい。
【なのめなり】 - 例文「男にさへおはしましける喜び、いかがはなのめならむ。」の口語訳を答えなさい。,訳語：並一通りだ。ありきたりだ。 例文の訳：（無事出産し、生まれた子が）その上男の子でもいらっしゃった喜びは、どうして並一通りであろうか。
【おぼろけなり】 - 例文「おぼろけにいそぐことなきは、必ず参り給ふ。」の口語訳を答えなさい。,訳語：並一通りだ。ありきたりだ。 例文の訳：（上達部も）並一通りで急ぐことがないときは、（中宮のもとへ）必ず参上なさる。
【おぼろけなり】 - 例文「おぼろけのよすがならで、人の言にうちなびき、この山里をあくがれ給ふな。」の口語訳を答えなさい。,訳語：並々ではない。格別だ。 例文の訳：並々ではない縁以外に、人の口車に乗せられて、この山里からさまよい出なさってはいけない。
【あやにくなり】 - 例文「逢はじとしけれど、男はあやにくに心ざし深くなりゆく。」の口語訳を答えなさい。,訳語：（思いに反して）ひどい。（思いに反して）はなはだしい。 例文の訳：（女は男に）逢うまいとしたけれど、男はひどく愛情が深くなっていく。
【まめやかなり】 - 例文「ことなる顔かたちなき人は、物まめやかに習ひたるぞよき。」の口語訳を答えなさい。,訳語：まじめだ。本気だ。 例文の訳：格別な美貌の持ち主でない人は、物をまじめに習っているのがよい。
【まめやかなり】 - 例文「まめやかに降れば、笠もなき男ども、ただ引きに引き入れつ。」の口語訳を答えなさい。,訳語：本格的だ。本式だ。 例文の訳：（雨が）本格的に降るので、笠もかぶらない供の男たちが、（牛車を邸内に）ただもう引き入れてしまう。
【切なり】せちなり - 例文「せちに「来」とあらば、行かむ。」の口語訳を答えなさい。,訳語：〔「せちに」の形で〕ひたすら。いちずに。 例文の訳：ひたすら「来い」と言うのならば、行こう。
【よそなり】 - 例文「この大将の君（＝源氏）の、今はとよそになり給はむなむ、飽かずいみじく思ひたまへらるる。」の口語訳を答えなさい。,訳語：無縁だ。無関係だ。 例文の訳：この大将の君が、これで最後と（この家と）無縁におなりになるようなことが、（私には）かぎりなく ひどく悲しく思われるのです。
【うちつけなり】 - 例文「うちつけなる御夢語りにぞはべるなる。」の口語訳を答えなさい。,訳語：突然だ。だしぬけだ。 例文の訳：突然の御夢語りであるようですね。
【頓なり】とみなり - 例文「とみにて求むる物、見出でたる。」の口語訳を答えなさい。,訳語：急だ。 例文の訳：急に（必要になって）探している物を、見つけ出したとき。
【密かなり】みそかなり - 例文「むすめを思ひかけて、みそかに通ひありきけり。」の口語訳を答えなさい。,訳語：ひそかだ。 例文の訳：（男は、友達の）娘を好きになって、ひそかに通い続けた。
【こまやかなり】 - 例文「天屋の何某といふ者、破籠・小竹筒などこまやかにしたためさせ、僕あまた舟に取り乗せて、追風時の間に吹き着きぬ。」の口語訳を答えなさい。,訳語：心を込めている。丁寧だ。 例文の訳：天屋の何某という者が、弁当や酒などを心を込めて用意させ、下僕を大勢舟に乗せて、追風を受けわずかの時間で（種の浜に）吹き着いた。
【らうたげなり】 - 例文「灯台に向かひて寝たる顔どももらうたげなり。」の口語訳を答えなさい。,訳語：かわいらしい。可憐だ。 例文の訳：灯台に向かって寝ている（舞姫たちの）顔もかわいらしい。
【優なり】いうなり - 例文「あら思はずや。東にもこれほど優なる人のありけるよ。」の口語訳を答えなさい。,訳語：優美だ。優れている。 例文の訳：ああ思いがけないことよ。東国にもこれほど優美な人がいたことだよ。
【内裏】うち - 例文「内裏に御遊び始まるを、ただいま参らせ給へ。」の口語訳を答えなさい。,訳語：宮中。内裏。 例文の訳：宮中で詩歌管絃のお遊びが始まるので、すぐ参内ください。
【上】うへ - 例文「うへ、殿上に出でさせ給ひて、御あそびありけり。」の口語訳を答えなさい。,訳語：天皇。帝。 例文の訳：天皇が、殿上の間にお出ましになって、管絃のお遊びがあった。
【上】うへ - 例文「うへは、宮の失せたまひけるをり、さま変へたまひにけり。」の口語訳を答えなさい。,訳語：奥様。奥方。 例文の訳：奥様は、（夫の）宮様がお亡くなりになったとき、出家なさってしまった。
【品】しな - 例文「御方しも、受領の妻にて品定まりておはしまさむよ。」の口語訳を答えなさい。,訳語：身分。家柄。 例文の訳：よりによってお嬢様が、受領の妻として身分が定まってしまわれるだろうよ。
【古里】ふるさと - 例文「世に仕ふるほどの人、たれか一人ふるさとに残りをらむ。」の口語訳を答えなさい。,訳語：古都。旧都。 例文の訳：朝廷に仕える身分の人は、いったいだれが一人でも古都に残っていようか。
【古里】ふるさと - 例文「人はいさ心も知らずふるさとは花ぞ昔の香ににほひける」の口語訳を答えなさい。,訳語：なじみのある土地。 例文の訳：人はさあその心もわからないものだ。しかし、このなじみのある土地は梅の花が昔どおりの香りで咲きほこっていることだなあ。
【心延へ】こころばへ - 例文「そのほど（＝私ノ妊娠中）の心ばへはしも、ねんごろなるやうなりけり。」の口語訳を答えなさい。,訳語：心遣い。配慮。 例文の訳：私の妊娠中の（夫の）心遣いは、心がこもっているようだった。
【隙】ひま - 例文「半蔀は下ろしてけり。ひまひまより見ゆる灯の光、蛍よりけにほのかにあはれなり。」の口語訳を答えなさい。,訳語：すき間。 例文の訳：半蔀は下ろしてしまっていた。すき間すき間から（もれて）見える灯火の光は、蛍（の光）よりいっそうかすかでしみじみとした趣がある。
【僻事】ひがこと - 例文「鶴の大臣殿は、童名たづ君なり。鶴を飼ひ給ひける故にと申すは、僻事なり。」の口語訳を答えなさい。,訳語：間違い。過ち。 例文の訳：鶴の大臣殿は、幼名はたづ君である。鶴をお飼いになっていたからと申すのは、間違いである。
【咎・科】とが - 例文「よろづのとがあらじと思はば、何事にもまことありて、人を分かず、うやうやしく、言葉少なからんにはしかじ。」の口語訳を答えなさい。,訳語：欠点。短所。 例文の訳：すべての欠点をなくしたいと思うのならば、何事にも誠意があって、人を分け隔てず、礼儀正しく、口数が少ないようなのにまさるものはない。
【空言・虚言】そらごと - 例文「世に語り伝ふること、まことはあいなきにや、多くはみなそらごとなり。」の口語訳を答えなさい。,訳語：噓。偽り。 例文の訳：世間で語り伝えていることは、真実はつまらないのであろうか、多くはみな噓である。
【消息】せうそこ - 例文「こはいかに。御消息奉りつるは、御覧ぜざりつるか。」の口語訳を答えなさい。,訳語：手紙。伝言。 例文の訳：これはどうしたことだ。お手紙を差し上げたのは、ご覧にならなかったのか。
【消息】せうそこ - 例文「門さしつ。死ぬるなりけり。消息いひ入るれど、なにのかひなし。」の口語訳を答えなさい。,訳語：訪問。来意を告げること。 例文の訳：（季縄の少将の家は）門を閉じていた。（季縄は）死んだのだった。（公忠は）訪問（して来意）を告げたけれども、なんの意味もない。
【雲居】くもゐ - 例文「かからむ世には、雲居に跡をとどめても何かはし候ふべき。」の口語訳を答えなさい。,訳語：宮中。都。 例文の訳：このような世の中では、宮中にとどまってもどうしようもありません。
【畏まり】かしこまり - 例文「限りなく喜びかしこまり申す。」の口語訳を答えなさい。,訳語：お礼。 例文の訳：（明石の入道は）この上もなく喜び（源氏に）お礼を申し上げる。
【畏まり】かしこまり - 例文「頭の弁うれへ申されたりければ、その折にぞ、御かしこまりにて、しばし籠り居給へりし。」の口語訳を答えなさい。,訳語：謹慎。 例文の訳：（成通の不正を上皇に）頭の弁が訴え申し上げなさったので、その折に、ご謹慎として、（成通は）しばらく家に籠っていらっしゃった。
【世・世の中】よ・よのなか - 例文「心憂きものは世なりけり。」の口語訳を答えなさい。,訳語：男女の仲。夫婦の仲。 例文の訳：恨めしいものは男女の仲であったのだ。
【限り】かぎり - 例文「はかなき御なやみと見ゆれども、かぎりのたびにもおはしますらむ。」の口語訳を答えなさい。,訳語：（人生の）最期。最後。 例文の訳：ちょっとしたご病気と見えるが、最期の時でもいらっしゃるのだろう。
【ここら・そこら】 - 例文「さが尻をかき出でて、ここらの朝廷人に見せて、恥を見せむ。」の口語訳を答えなさい。,訳語：たくさん。 例文の訳：そいつの尻をまくり出して、たくさんの役人に見せて、恥をかかせてやろう。
【互に】かたみに - 例文「かたみに思ひあふことかぎりなし。」の口語訳を答えなさい。,訳語：たがいに。 例文の訳：（男と女は）たがいに愛し合うことこの上もない。
【わざと】 - 例文「わざとかねて外の（桜ノ花ビラ）をも散らして、庭に敷かれたりけるにや。」の口語訳を答えなさい。,訳語：わざわざ。 例文の訳：わざわざ前もって外の桜の花びらをも散らして、庭に敷かれたのであろうか。
【うたて】 - 例文「うたて、なにしに、さ申しつらむ。」の口語訳を答えなさい。,訳語：いやなことに。不快に。 例文の訳：いやなことに、どうして、（私は）あんな風に申し上げてしまったのだろうか。
【予ねて】かねて - 例文「死期はついでを待たず。死は前よりしも来らず。かねて後ろに迫れり。」の口語訳を答えなさい。,訳語：前もって。前から。 例文の訳：（人の）死ぬ時期は順序を待たない。死は必ずしも前からやって来ない。前もって背後に迫っている。
【やをら】 - 例文「人の臥したるを、奥の方よりやをらのぞいたるも、いとをかし。」の口語訳を答えなさい。,訳語：そっと。静かに。 例文の訳：人が寝ているのを、奥の方からそっとのぞいているのも、とてもおもしろい。
【夜もすがら】よもすがら - 例文「二十八日、よもすがら雨やまず。今朝も。」の口語訳を答えなさい。,訳語：一晩中。夜通し。 例文の訳：二十八日、一晩中雨が止まない。今朝も（降っている）。
【ゆめ・ゆめゆめ～打消】 - 例文「御よろこびなど言ひおこする人も、かへりては弄ずる心地して、ゆめうれしからず。」の口語訳を答えなさい。,訳語：まったく～ない。少しも～ない。 例文の訳：（夫の大納言昇進の）お祝いなど言って寄こす人も、逆にからかっている感じがして、（私は）まったくうれしくない。
【ゆめ・ゆめゆめ～禁止】 - 例文「関白をば次第のままにせさせ給へ。ゆめゆめ違へさせ給ふな。」の口語訳を答えなさい。,訳語：決して～（し）てはいけない。断じて～（し）てはいけない。 例文の訳：関白職は（兄弟の）順序に任命して下さい。決して違反なさってはいけない。
【をさをさ～打消】 - 例文「冬枯れのけしきこそ、秋にはをさをさ劣るまじけれ。」の口語訳を答えなさい。,訳語：ほとんど～ない。めったに～ない。 例文の訳：冬枯れの様子は、秋にはほとんど劣らないだろう。
【あなかま】 - 例文「あなかま、人に聞かすな。いとをかしげなる猫なり。飼はむ。」の口語訳を答えなさい。,訳語：しっ、静かに。ああ、うるさい。 例文の訳：しっ、静かに、人に聞かせてはいけない。とてもかわいらしい猫だ。飼おう。
【徒歩より】かちより - 例文「仁和寺にある法師、年寄るまで石清水を拝まざりければ、心憂くおぼえて、ある時思ひ立ちて、ただひとり徒歩より詣でけり。」の口語訳を答えなさい。,訳語：歩いて。徒歩で。 例文の訳：仁和寺にいる法師が、年を取るまで石清水八幡宮に参拝したことがなかったので、恨めしく思われて、ある時決心して、ただひとりで歩いて参詣した。
【けしからず】 - 例文「木霊などいふ、けしからぬかたちも現るるものなり。」の口語訳を答えなさい。,訳語：異様だ。変だ。 例文の訳：（主人のいない家には）木霊などという、異様な物も現れるものである。
